epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8230.45,0.9974,1.33939,1.11174,0.59911,0.47591,0.49555,0.34727,1.13043,1.37403,1.28216,0.000742625,0.000742625,0.000742625
43,8426.32,0.98329,1.34553,1.12137,0.61682,0.47925,0.50719,0.35855,0.97539,1.37782,1.10536,0.00073025,0.00073025,0.00073025
44,8622.07,0.97125,1.28439,1.09545,0.68072,0.40918,0.48553,0.35005,1.00478,1.4196,1.13937,0.000717875,0.000717875,0.000717875
45,8818.17,0.96545,1.24511,1.08468,0.60768,0.46354,0.47989,0.35235,0.96348,1.24807,1.12079,0.0007055,0.0007055,0.0007055
46,9014.08,0.95867,1.25486,1.09345,0.56797,0.48585,0.48895,0.36056,1.00847,1.3042,1.1354,0.000693125,0.000693125,0.000693125
47,9209.98,0.94315,1.23684,1.08803,0.64564,0.45747,0.47025,0.33902,0.97365,1.34489,1.12676,0.00068075,0.00068075,0.00068075
48,9406.25,0.93672,1.21751,1.07607,0.63685,0.46515,0.4924,0.37243,0.9487,1.22259,1.1002,0.000668375,0.000668375,0.000668375
49,9602.34,0.92053,1.23746,1.084,0.59104,0.48554,0.50747,0.38799,0.90721,1.1853,1.09988,0.000656,0.000656,0.000656
50,9798.37,0.94646,1.22922,1.09033,0.56737,0.43036,0.49052,0.36437,0.96094,1.26958,1.13042,0.000643625,0.000643625,0.000643625
51,9994.27,0.92068,1.19173,1.05914,0.56477,0.45105,0.46364,0.34122,0.93499,1.38106,1.10813,0.00063125,0.00063125,0.00063125
52,10190.3,0.90801,1.16586,1.07908,0.54202,0.51227,0.49898,0.35878,0.9733,1.17398,1.11845,0.000618875,0.000618875,0.000618875
53,10386.2,0.94221,1.18545,1.071,0.66991,0.43729,0.49969,0.36241,0.95422,1.21083,1.10513,0.0006065,0.0006065,0.0006065
54,10582.1,0.89078,1.13516,1.05657,0.69899,0.4118,0.49594,0.36461,0.96538,1.29331,1.1175,0.000594125,0.000594125,0.000594125
55,10778.2,0.88718,1.11511,1.06532,0.61924,0.46692,0.51081,0.37709,0.96763,1.16644,1.12255,0.00058175,0.00058175,0.00058175
56,10974.2,0.85441,1.04993,1.03977,0.66427,0.41574,0.48692,0.36302,0.93044,1.20245,1.07513,0.000569375,0.000569375,0.000569375
57,11170.2,0.91338,1.13461,1.06171,0.59143,0.46337,0.47968,0.35332,0.98159,1.34706,1.08964,0.000557,0.000557,0.000557
58,11366.8,0.91307,1.13672,1.07067,0.5453,0.52137,0.48855,0.34937,1.01037,1.27861,1.10704,0.000544625,0.000544625,0.000544625
59,11562.4,0.89816,1.12202,1.05746,0.59769,0.49518,0.49135,0.35788,0.96874,1.31125,1.10334,0.00053225,0.00053225,0.00053225
60,11758.4,0.85834,1.08232,1.04491,0.6699,0.47174,0.51089,0.37481,0.97672,1.20245,1.12113,0.000519875,0.000519875,0.000519875
61,11954.2,0.89361,1.09926,1.05044,0.65384,0.50804,0.52833,0.39241,0.98521,1.22563,1.11498,0.0005075,0.0005075,0.0005075
62,12150.2,0.8778,1.0662,1.04802,0.66854,0.48873,0.49936,0.37405,0.99452,1.34776,1.16744,0.000495125,0.000495125,0.000495125
63,12346.6,0.86293,1.06566,1.03563,0.66345,0.46934,0.50204,0.36766,0.97037,1.30453,1.11204,0.00048275,0.00048275,0.00048275
64,12542.8,0.87075,1.07731,1.04868,0.64323,0.48519,0.51317,0.37299,0.92689,1.18209,1.08314,0.000470375,0.000470375,0.000470375
65,12738.7,0.87019,1.07817,1.04537,0.66872,0.47102,0.50378,0.38036,0.90148,1.17747,1.05602,0.000458,0.000458,0.000458
66,12935,0.84079,1.04807,1.0325,0.61624,0.48904,0.51955,0.36576,0.95221,1.20537,1.07109,0.000445625,0.000445625,0.000445625
67,13130.9,0.83763,1.0114,1.03503,0.70959,0.42306,0.50585,0.36406,0.91631,1.30911,1.09515,0.00043325,0.00043325,0.00043325
68,13327.2,0.86395,1.03853,1.04912,0.68618,0.45427,0.49356,0.37117,0.9944,1.43637,1.16688,0.000420875,0.000420875,0.000420875
69,13523.4,0.82427,1.04433,1.04247,0.70061,0.44989,0.50065,0.37372,0.87689,1.27083,1.07488,0.0004085,0.0004085,0.0004085
70,13720,0.83412,1.01673,1.03949,0.67519,0.47663,0.51595,0.3765,0.98262,1.56347,1.14095,0.000396125,0.000396125,0.000396125
71,13916.2,0.8152,0.97329,1.01574,0.63892,0.50807,0.53465,0.39002,0.94356,1.34729,1.08204,0.00038375,0.00038375,0.00038375
72,14112.6,0.82806,0.98774,1.03956,0.66788,0.46359,0.50929,0.37185,0.93976,1.35643,1.11333,0.000371375,0.000371375,0.000371375
73,14309,0.80932,0.9616,1.0178,0.73015,0.4674,0.49269,0.35969,0.98456,1.57347,1.13556,0.000359,0.000359,0.000359
74,14504.8,0.80096,1.00494,1.02218,0.72167,0.46035,0.51797,0.37912,0.93144,1.361,1.08702,0.000346625,0.000346625,0.000346625
75,14700.9,0.81746,0.97506,1.02544,0.67145,0.48444,0.52333,0.38237,0.91997,1.19052,1.07942,0.00033425,0.00033425,0.00033425
76,14896.9,0.79037,0.93535,1.00769,0.6711,0.48006,0.51786,0.38365,0.91201,1.07659,1.07049,0.000321875,0.000321875,0.000321875
77,15093.1,0.80078,0.94918,1.01276,0.66693,0.44113,0.47692,0.35672,0.93104,1.33186,1.07626,0.0003095,0.0003095,0.0003095
78,15289.3,0.7826,0.93486,1.00894,0.66741,0.4802,0.51556,0.37403,0.88178,1.13492,1.05456,0.000297125,0.000297125,0.000297125
79,15485.4,0.77617,0.91212,1.00667,0.68827,0.48585,0.50945,0.37784,0.91797,1.1175,1.06887,0.00028475,0.00028475,0.00028475
80,15681.5,0.79347,0.90544,1.01269,0.71375,0.45594,0.5034,0.37481,0.91279,1.2015,1.0662,0.000272375,0.000272375,0.000272375
81,15877.7,0.7894,0.9223,1.02186,0.66075,0.47793,0.504,0.36437,0.96333,1.32922,1.10927,0.00026,0.00026,0.00026
82,16073.5,0.77695,0.88943,1.0138,0.74892,0.46025,0.49938,0.37423,0.91517,1.19605,1.08243,0.000247625,0.000247625,0.000247625
83,16269.6,0.75719,0.87502,0.98982,0.73737,0.48856,0.52451,0.38691,0.90526,1.20613,1.0823,0.00023525,0.00023525,0.00023525
84,16465.5,0.78105,0.87567,1.00597,0.70948,0.46617,0.5289,0.38857,0.90334,1.20961,1.07757,0.000222875,0.000222875,0.000222875
85,16661.1,0.78218,0.87011,1.00107,0.72024,0.48065,0.52985,0.38901,0.90949,1.16655,1.07617,0.0002105,0.0002105,0.0002105
86,16856.9,0.76498,0.84838,0.99803,0.66243,0.49048,0.5262,0.38527,0.92247,1.11738,1.06994,0.000198125,0.000198125,0.000198125
87,17052.8,0.75645,0.84425,0.98596,0.67489,0.49375,0.52598,0.3795,0.89439,1.11276,1.06895,0.00018575,0.00018575,0.00018575
88,17249.5,0.75828,0.84939,0.99055,0.66544,0.47696,0.52751,0.38479,0.90474,1.09254,1.06384,0.000173375,0.000173375,0.000173375
89,17444.7,0.74323,0.85308,0.99562,0.65267,0.48309,0.51549,0.37574,0.93219,1.16211,1.09238,0.000161,0.000161,0.000161
90,17640.7,0.74927,0.83626,0.997,0.64924,0.51439,0.52818,0.38018,0.93711,1.16121,1.07365,0.000148625,0.000148625,0.000148625
91,17835.9,0.699,0.71506,0.95869,0.76027,0.46352,0.52397,0.38095,0.93175,1.12036,1.06827,0.00013625,0.00013625,0.00013625
92,18031.3,0.68172,0.65667,0.94446,0.72125,0.45831,0.52352,0.38215,0.90993,1.12355,1.05235,0.000123875,0.000123875,0.000123875
93,18226.6,0.67762,0.63127,0.9402,0.68276,0.46597,0.52566,0.37979,0.89242,1.10163,1.06599,0.0001115,0.0001115,0.0001115
94,18421.8,0.64976,0.61393,0.93023,0.75273,0.44368,0.51725,0.37485,0.89826,1.16406,1.06466,9.9125e-05,9.9125e-05,9.9125e-05
95,18616.9,0.65065,0.60999,0.92367,0.75185,0.43799,0.52078,0.38156,0.88624,1.13344,1.04921,8.675e-05,8.675e-05,8.675e-05
96,18811.9,0.63656,0.59326,0.92716,0.69548,0.45151,0.52135,0.38778,0.88599,1.12404,1.06191,7.4375e-05,7.4375e-05,7.4375e-05
97,19007.2,0.64039,0.60492,0.92669,0.74196,0.44663,0.52543,0.38827,0.87874,1.14612,1.06076,6.2e-05,6.2e-05,6.2e-05
98,19201.5,0.63181,0.58614,0.92239,0.74738,0.45151,0.52156,0.38391,0.89771,1.13679,1.05477,4.9625e-05,4.9625e-05,4.9625e-05
99,19396.8,0.63797,0.57936,0.92152,0.74799,0.45151,0.52357,0.38384,0.89947,1.11867,1.06269,3.725e-05,3.725e-05,3.725e-05
100,19591.6,0.63389,0.58836,0.91841,0.73915,0.45358,0.52134,0.38438,0.90197,1.1222,1.06551,2.4875e-05,2.4875e-05,2.4875e-05
